model,bucket,MAE,RMSE,sMAPE
holt_winters,1-7d,23.97035380100972,29.38881172186396,26.279739440997965
holt_winters_seasonal_corrected,1-7d,23.914592281126133,29.258148325584692,26.199761137114265
lightgbm,1-7d,26.429178197140786,32.27590827861664,29.01444642064924
seasonal_naive,1-7d,25.82857142857143,34.68305473447063,28.57356960886309
holt_winters,31-90d,19.678335490473884,24.99775862094353,23.622468685022334
holt_winters_seasonal_corrected,31-90d,21.611717405132815,27.328673891473372,25.517455064799943
lightgbm,31-90d,23.71980279541167,29.393170295485355,28.316903281095097
seasonal_naive,31-90d,25.156666666666666,31.49089815592224,29.92603391409062
holt_winters,8-30d,18.970953666386542,24.792745854658257,22.30818023413824
holt_winters_seasonal_corrected,8-30d,19.617055263555528,25.009026658145412,23.024329393571616
lightgbm,8-30d,23.24080697142539,28.74474396525429,27.60298383465748
seasonal_naive,8-30d,23.652173913043477,30.407378967154894,27.673295437263217
holt_winters,overall (1-90d),19.83138378180435,25.31508940149993,23.493271584150055
holt_winters_seasonal_corrected,overall (1-90d),21.281082903751436,26.913243793716823,24.93339119888826
lightgbm,overall (1-90d),23.80812194941633,29.46441062575444,28.188710555637474
seasonal_naive,overall (1-90d),24.824444444444445,31.479623038827302,29.245142412939256
